gamma_true,gamma_hat
0.800000011920929,0.7978743314743042
0.800000011920929,0.7931048274040222
0.800000011920929,0.787348747253418
0.800000011920929,0.781227171421051
0.800000011920929,0.7931774258613586
0.800000011920929,0.7766952514648438
1.0,0.9999678134918213
1.0,0.9999819993972778
1.0,0.999984622001648
0.800000011920929,0.7884176969528198
0.800000011920929,0.793331503868103
0.800000011920929,0.791914165019989
0.800000011920929,0.7876741886138916
0.800000011920929,0.781067430973053
0.800000011920929,0.778866171836853
0.800000011920929,0.7864446640014648
0.800000011920929,0.8000491857528687
0.800000011920929,0.8022743463516235
0.800000011920929,0.8063539266586304
0.800000011920929,0.8057102560997009
0.800000011920929,0.8034387826919556
0.800000011920929,0.7991185784339905
0.800000011920929,0.794926643371582
0.800000011920929,0.8072115182876587
0.800000011920929,0.7908526659011841
1.0,0.9999828338623047
1.0,0.9999885559082031
1.0,0.9999901056289673
0.800000011920929,0.8083088994026184
0.800000011920929,0.8025125861167908
0.800000011920929,0.8006242513656616
0.800000011920929,0.7967679500579834
0.800000011920929,0.7902123928070068
0.800000011920929,0.786172091960907
0.800000011920929,0.7980021238327026
0.800000011920929,0.7974263429641724
0.800000011920929,0.7994283437728882
0.800000011920929,0.8028173446655273
0.800000011920929,0.8013924360275269
0.800000011920929,0.7976388931274414
0.800000011920929,0.7902775406837463
0.800000011920929,0.7845300436019897
0.800000011920929,0.8004245758056641
0.800000011920929,0.7806915044784546
