step,time_s,case_name,alt_ft,vc_kts,theta_deg,phi_deg,hdot_fps,q_dps,elev_raw,elev_comp,elev_plant,throttle,speedbrake,case_gamma_estimate,physical_gamma,comp_factor,mrac_elev,observer_bias_q,observer_bias_theta,detector_severity,detector_confidence,mmae_gamma_hat,mmae_best_gamma,residual_enabled,rl_residual,interlock_tripped
64,0.525,HYBRID,15098.32405456528,490.03205590880515,0.23163603739437352,1.9638483756713785,9.052687673503305,0.1012606177570898,-0.013391776124471018,-0.013392205184933238,-0.013392205184933238,0.15,0.13333333333333347,0.9999679619258893,1.0,1.0000320391005817,0.0,0.0,0.0,1.0,1.0,0.9999679619258893,1.0,0,0.0,0
65,0.533333,HYBRID,15098.399801142514,490.06167632591075,0.23263775545022716,1.9030380662743347,9.038378592414354,0.10983356649636687,-0.01285376116848668,-0.012854028178244815,-0.012854028178244815,0.15,0.1354166666666668,0.999979227542181,1.0,1.000020772889323,0.0,0.0,0.0,1.0,1.0,0.999979227542181,1.0,0,0.0,0
66,0.541667,HYBRID,15098.474847156554,490.09514945375525,0.2336090870991947,1.882034177842163,8.99259085216428,0.11614292872974757,-0.01319853521933897,-0.01319872175359367,-0.01319872175359367,0.15,0.13750000000000012,0.9999858672484971,1.0,1.0000141329512404,0.0,0.0,0.0,1.0,1.0,0.9999858672484971,1.0,0,0.0,0
67,0.55,HYBRID,15098.54948464781,490.1324021892086,0.234520537573146,1.9022972374426024,8.915652060831256,0.1245353546313155,-0.013440426200485868,-0.013440569811505177,-0.013440569811505177,0.15,0.13958333333333345,0.9999893151093054,1.0,1.0000106850048627,0.0,0.0,0.0,1.0,1.0,0.9999893151093054,1.0,0,0.0,0
68,0.558333,HYBRID,15098.623352330178,490.1620946303369,0.23541825889144757,1.9644056784244601,8.900991310613199,0.13214338351266508,-0.013727556793962014,-0.013727655949900917,-0.013727655949900917,0.15,0.14166666666666677,0.9999927769213285,1.0,1.0000072231308448,0.0,0.0,0.0,1.0,1.0,0.9999927769213285,1.0,0,0.0,0
69,0.566667,HYBRID,15098.697681732476,490.1879612768794,0.23648380836801475,1.9837571841400234,8.918563915353781,0.1391834202362403,-0.01314383762365205,-0.013143904016716456,-0.013143904016716456,0.15,0.1437500000000001,0.9999949487561443,1.0,1.000005051269371,0.0,0.0,0.0,1.0,1.0,0.9999949487561443,1.0,0,0.0,0
70,0.575,HYBRID,15098.772187557071,490.210074981819,0.2377267245502184,1.962376584795177,8.968246189402794,0.14216681085390834,-0.01266091426907686,-0.012660960916821494,-0.012660960916821494,0.15,0.14583333333333343,0.9999963156236765,1.0,1.000003684389898,0.0,0.0,0.0,1.0,1.0,0.9999963156236765,1.0,0,0.0,0
71,0.583333,HYBRID,15098.847240764648,490.2397688011728,0.2390717821991525,1.8993939456676188,8.95658247657437,0.14457926525342404,-0.012137833965261422,-0.01213787410294707,-0.01213787410294707,0.15,0.14791666666666675,0.9999966931865246,1.0,1.0000033068244105,0.0,0.0,0.0,1.0,1.0,0.9999966931865246,1.0,0,0.0,0
72,0.591667,HYBRID,15098.921616662294,490.27331171974174,0.2403283521557995,1.879469643752209,8.913330318134282,0.14480688864263563,-0.012498849104864882,-0.012498887315891993,-0.012498887315891993,0.15,0.15000000000000008,0.9999969428456994,1.0,1.000003057163647,0.0,0.0,0.0,1.0,1.0,0.9999969428456994,1.0,0,0.0,0
73,0.6,HYBRID,15098.995603840798,490.3106304298027,0.24147411756632592,1.9007713367371422,8.838926830151987,0.14725318461356546,-0.012766338532144704,-0.012766378551706583,-0.012766378551706583,0.15,0.1520833333333334,0.9999968652377245,1.0,1.0000031347721023,0.0,0.0,0.0,1.0,1.0,0.9999968652377245,1.0,0,0.0,0
74,0.608333,HYBRID,15099.068842701614,490.34039208642065,0.24255768588731866,1.963969997922889,8.826755869532075,0.14909340082141098,-0.013077099751947565,-0.013077137504130682,-0.013077137504130682,0.15,0.15416666666666673,0.9999971131156873,1.0,1.000002886892647,0.0,0.0,0.0,1.0,1.0,0.9999971131156873,1.0,0,0.0,0
75,0.616667,HYBRID,15099.14256369695,490.3663285650232,0.24376107537048378,1.9843713466055741,8.84674201057052,0.1505247773337317,-0.012518962217400675,-0.012518996492403489,-0.012518996492403489,0.15,0.15625000000000006,0.9999972621605226,1.0,1.0000027378469731,0.0,0.0,0.0,1.0,1.0,0.9999972621605226,1.0,0,0.0,0
76,0.625,HYBRID,15099.216480791569,490.3885123613938,0.24509578345064756,1.9640270779305653,8.89878414603327,0.1480743523800588,-0.01206468939385242,-0.012064721362414942,-0.012064721362414942,0.15,0.15833333333333338,0.999997350244439,1.0,1.0000026497625822,0.0,0.0,0.0,1.0,1.0,0.999997350244439,1.0,0,0.0,0
77,0.633333,HYBRID,15099.29096479714,490.4182679321447,0.24648767902798727,1.902039715229779,8.889478233163132,0.14526012827436932,-0.01157179358672265,-0.011571829107014311,-0.011571829107014311,0.15,0.1604166666666667,0.999996930451415,1.0,1.000003069558007,0.0,0.0,0.0,1.0,1.0,0.999996930451415,1.0,0,0.0,0
